courier_price_id,courier_id,courier_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
47585,4,37,0,10,2822.4,1,,,0
47586,4,37,10.01,11,2953.65,1,,,0
47587,4,37,11.01,12,3084.9,1,,,0
47588,4,37,12.01,13,3216.15,1,,,0
47589,4,37,13.01,14,3347.4,1,,,0
47590,4,37,14.01,15,3478.65,1,,,0
47591,4,37,15.01,16,3609.9,1,,,0
47592,4,37,16.01,17,3741.15,1,,,0
47593,4,37,17.01,18,3872.4,1,,,0
47594,4,37,18.01,19,4003.65,1,,,0
47595,4,37,19.01,20,4134.9,1,,,0
47596,4,37,20.01,21,4226.25,1,,,0
47597,4,37,21.01,22,4317.6,1,,,0
47598,4,37,22.01,23,4408.95,1,,,0
47599,4,37,23.01,24,4500.3,1,,,0
47600,4,37,24.01,25,4591.65,1,,,0
47601,4,37,25.01,26,4683,1,,,0
47602,4,37,26.01,27,4774.35,1,,,0
47603,4,37,27.01,28,4865.7,1,,,0
47604,4,37,28.01,29,4957.05,1,,,0
47605,4,37,29.01,30,5048.4,1,,,0
47606,4,37,31,31.99,4568.172,1,,,0
47607,4,37,32,32.99,4710.972,1,,,0
47608,4,37,33,33.99,4853.772,1,,,0
47609,4,37,34,34.99,4996.572,1,,,0
47610,4,37,35,35.99,5139.372,1,,,0
47611,4,37,36,36.99,5282.172,1,,,0
47612,4,37,37,37.99,5424.972,1,,,0
47613,4,37,38,38.99,5567.772,1,,,0
47614,4,37,39,39.99,5710.572,1,,,0
47615,4,37,40,40.99,5853.372,1,,,0
47616,4,37,41,41.99,5996.172,1,,,0
47617,4,37,42,42.99,6138.972,1,,,0
47618,4,37,43,43.99,6281.772,1,,,0
47619,4,37,44,44.99,6141.135,1,,,0
47620,4,37,45,45.99,6277.635,1,,,0
47621,4,37,46,46.99,6413.435,1,,,0
47622,4,37,47,47.99,6550.635,1,,,0
47623,4,37,48,48.99,6687.135,1,,,0
47624,4,37,49,49.99,6823.635,1,,,0
47625,4,37,50,50.99,6960.135,1,,,0
47626,4,37,51,51.99,7096.635,1,,,0
47627,4,37,52,52.99,7233.135,1,,,0
47628,4,37,53,53.99,7369.635,1,,,0
47629,4,37,54,54.99,7506.135,1,,,0
47630,4,37,55,55.99,7642.635,1,,,0
47631,4,37,56,56.99,7779.135,1,,,0
47632,4,37,57,57.99,7915.635,1,,,0
47633,4,37,58,58.99,8052.135,1,,,0
47634,4,37,59,59.99,8188.635,1,,,0
47635,4,37,60,60.99,8325.135,1,,,0
47636,4,37,61,61.99,8461.635,1,,,0
47637,4,37,62,62.99,8598.135,1,,,0
47638,4,37,63,63.99,8734.635,1,,,0
47639,4,37,64,64.99,8871.135,1,,,0
47640,4,37,65,65.99,9007.635,1,,,0
47641,4,37,66,66.99,9144.135,1,,,0
47642,4,37,67,67.99,9280.635,1,,,0
47643,4,37,68,68.99,9417.135,1,,,0
47644,4,37,69,69.99,7864.3665,1,,,0
47645,4,37,70,70.99,7976.7165,1,,,0
47646,4,37,71,71.99,8089.0665,1,,,0
47647,4,37,72,72.99,8201.4165,1,,,0
47648,4,37,73,73.99,8313.7665,1,,,0
47649,4,37,74,74.99,8426.1165,1,,,0
47650,4,37,75,75.99,8538.4665,1,,,0
47651,4,37,76,76.99,8650.8165,1,,,0
47652,4,37,77,77.99,8763.1665,1,,,0
47653,4,37,78,78.99,8875.5165,1,,,0
47654,4,37,79,79.99,8987.8665,1,,,0
47655,4,37,80,80.99,9100.2165,1,,,0
47656,4,37,81,81.99,9212.5665,1,,,0
47657,4,37,82,82.99,9324.9165,1,,,0
47658,4,37,83,83.99,9437.2665,1,,,0
47659,4,37,84,84.99,9549.6165,1,,,0
47660,4,37,85,85.99,9661.9665,1,,,0
47661,4,37,86,86.99,9774.3165,1,,,0
47662,4,37,87,87.99,9886.6665,1,,,0
47663,4,37,88,88.99,9999.0165,1,,,0
47664,4,37,89,89.99,10111.3665,1,,,0
47665,4,37,90,90.99,10223.7165,1,,,0
47666,4,37,91,91.99,10336.0665,1,,,0
47667,4,37,92,92.99,10448.4165,1,,,0
47668,4,37,93,93.99,10560.7665,1,,,0
47669,4,37,94,94.99,10673.1165,1,,,0
47670,4,37,95,95.99,10785.4665,1,,,0
47671,4,37,96,96.99,10897.8165,1,,,0
47672,4,37,97,97.99,11010.1665,1,,,0
47673,4,37,98,98.99,11122.5165,1,,,0
47674,4,37,99,99.99,11234.8665,1,,,0
47675,4,37,100,100.99,11347.2165,1,,,0
47676,4,37,101,101.99,11459.5665,1,,,0
47677,4,37,102,102.99,11571.9165,1,,,0
47678,4,37,103,103.99,11684.2665,1,,,0
47679,4,37,104,104.99,11796.6165,1,,,0
47680,4,37,105,105.99,11908.9665,1,,,0
47681,4,37,106,106.99,12021.3165,1,,,0
47682,4,37,107,107.99,12133.6665,1,,,0
47683,4,37,108,108.99,12246.0165,1,,,0
47684,4,37,109,109.99,12358.3665,1,,,0
47685,4,37,110,110.99,12470.7165,1,,,0
47686,4,37,111,111.99,12583.0665,1,,,0
47687,4,37,112,112.99,12695.4165,1,,,0
47688,4,37,113,113.99,12807.7665,1,,,0
47689,4,37,114,114.99,12920.1165,1,,,0
47690,4,37,115,115.99,13032.4665,1,,,0
47691,4,37,116,116.99,13144.8165,1,,,0
47692,4,37,117,117.99,13257.1665,1,,,0
47693,4,37,118,118.99,13369.5165,1,,,0
47694,4,37,119,119.99,13481.8665,1,,,0
47695,4,37,120,120.99,13594.2165,1,,,0
47696,4,37,121,121.99,13706.5665,1,,,0
47697,4,37,122,122.99,13818.9165,1,,,0
47698,4,37,123,123.99,13931.2665,1,,,0
47699,4,37,124,124.99,14043.6165,1,,,0
47700,4,37,125,125.99,14155.9665,1,,,0
47701,4,37,126,126.99,14268.3165,1,,,0
47702,4,37,127,127.99,14380.6665,1,,,0
47703,4,37,128,128.99,14493.0165,1,,,0
47704,4,37,129,129.99,14605.3665,1,,,0
47705,4,37,130,130.99,14717.7165,1,,,0
47706,4,37,131,131.99,14830.0665,1,,,0
47707,4,37,132,132.99,14942.4165,1,,,0
47708,4,37,133,133.99,15054.7665,1,,,0
47709,4,37,134,134.99,15167.1165,1,,,0
47710,4,37,135,135.99,15279.4665,1,,,0
47711,4,37,136,136.99,15391.8165,1,,,0
47712,4,37,137,137.99,15504.1665,1,,,0
47713,4,37,138,138.99,15616.5165,1,,,0
47714,4,37,139,139.99,15728.8665,1,,,0
47715,4,37,140,140.99,15841.2165,1,,,0
47716,4,37,141,141.99,15953.5665,1,,,0
47717,4,37,142,142.99,16065.9165,1,,,0
47718,4,37,143,143.99,16178.2665,1,,,0
47719,4,37,144,144.99,16290.6165,1,,,0
47720,4,37,145,145.99,16402.9665,1,,,0
47721,4,37,146,146.99,16515.3165,1,,,0
47722,4,37,147,147.99,16627.6665,1,,,0
47723,4,37,148,148.99,16740.0165,1,,,0
47724,4,37,149,149.99,16852.3665,1,,,0
47725,4,37,150,150.99,16964.7165,1,,,0
47726,4,37,151,151.99,17077.0665,1,,,0
