courier_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
48576,4,38,0,10,3229.8,1,,,0
48577,4,38,10.01,11,3347.4,1,,,0
48578,4,38,11.01,12,3465,1,,,0
48579,4,38,12.01,13,3582.6,1,,,0
48580,4,38,13.01,14,3700.2,1,,,0
48581,4,38,14.01,15,3817.8,1,,,0
48582,4,38,15.01,16,3935.4,1,,,0
48583,4,38,16.01,17,4053,1,,,0
48584,4,38,17.01,18,4270.6,1,,,0
48585,4,38,18.01,19,4288.2,1,,,0
48586,4,38,19.01,20,4405.8,1,,,0
48587,4,38,20.01,21,4499.25,1,,,0
48588,4,38,21.01,22,4592.7,1,,,0
48589,4,38,22.01,23,4686.15,1,,,0
48590,4,38,23.01,24,4779.6,1,,,0
48591,4,38,24.01,25,4873.05,1,,,0
48592,4,38,25.01,26,4966.5,1,,,0
48593,4,38,26.01,27,5059.95,1,,,0
48594,4,38,27.01,28,5153.4,1,,,0
48595,4,38,28.01,29,5246.85,1,,,0
48596,4,38,29.01,30,5340.3,1,,,0
48597,4,38,31,31.99,5207.3625,1,,,0
48598,4,38,32,32.99,5370.1125,1,,,0
48599,4,38,33,33.99,5532.8625,1,,,0
48600,4,38,34,34.99,5695.6125,1,,,0
48601,4,38,35,35.99,5858.3625,1,,,0
48602,4,38,36,36.99,6021.1125,1,,,0
48603,4,38,37,37.99,6183.8625,1,,,0
48604,4,38,38,38.99,6346.6125,1,,,0
48605,4,38,39,39.99,6509.3625,1,,,0
48606,4,38,40,40.99,6672.1125,1,,,0
48607,4,38,41,41.99,6834.8625,1,,,0
48608,4,38,42,42.99,6997.6125,1,,,0
48609,4,38,43,43.99,7160.3625,1,,,0
48610,4,38,44,44.99,7228.6335,1,,,0
48611,4,38,45,45.99,7389.2835,1,,,0
48612,4,38,46,46.99,7549.9335,1,,,0
48613,4,38,47,47.99,7710.5835,1,,,0
48614,4,38,48,48.99,7871.2335,1,,,0
48615,4,38,49,49.99,8031.8835,1,,,0
48616,4,38,50,50.99,8192.5335,1,,,0
48617,4,38,51,51.99,8353.1835,1,,,0
48618,4,38,52,52.99,8513.8335,1,,,0
48619,4,38,53,53.99,8674.4835,1,,,0
48620,4,38,54,54.99,8835.1335,1,,,0
48621,4,38,55,55.99,8995.7835,1,,,0
48622,4,38,56,56.99,9156.4335,1,,,0
48623,4,38,57,57.99,9317.0835,1,,,0
48624,4,38,58,58.99,9477.7335,1,,,0
48625,4,38,59,59.99,9638.3835,1,,,0
48626,4,38,60,60.99,9799.0335,1,,,0
48627,4,38,61,61.99,9959.6835,1,,,0
48628,4,38,62,62.99,10120.3335,1,,,0
48629,4,38,63,63.99,10280.9835,1,,,0
48630,4,38,64,64.99,10441.6335,1,,,0
48631,4,38,65,65.99,10602.2835,1,,,0
48632,4,38,66,66.99,10762.9335,1,,,0
48633,4,38,67,67.99,10923.5835,1,,,0
48634,4,38,68,68.99,11084.2335,1,,,0
48635,4,38,69,69.99,11024.415,1,,,0
48636,4,38,70,70.99,11181.915,1,,,0
48637,4,38,71,71.99,11339.415,1,,,0
48638,4,38,72,72.99,11496.915,1,,,0
48639,4,38,73,73.99,11654.415,1,,,0
48640,4,38,74,74.99,11811.915,1,,,0
48641,4,38,75,75.99,11969.415,1,,,0
48642,4,38,76,76.99,12126.915,1,,,0
48643,4,38,77,77.99,12284.415,1,,,0
48644,4,38,78,78.99,12441.915,1,,,0
48645,4,38,79,79.99,12599.415,1,,,0
48646,4,38,80,80.99,12756.915,1,,,0
48647,4,38,81,81.99,12914.415,1,,,0
48648,4,38,82,82.99,13071.915,1,,,0
48649,4,38,83,83.99,13229.415,1,,,0
48650,4,38,84,84.99,13386.915,1,,,0
48651,4,38,85,85.99,13544.415,1,,,0
48652,4,38,86,86.99,13701.915,1,,,0
48653,4,38,87,87.99,13859.415,1,,,0
48654,4,38,88,88.99,14016.915,1,,,0
48655,4,38,89,89.99,14174.415,1,,,0
48656,4,38,90,90.99,14331.915,1,,,0
48657,4,38,91,91.99,14489.415,1,,,0
48658,4,38,92,92.99,14646.915,1,,,0
48659,4,38,93,93.99,14804.415,1,,,0
48660,4,38,94,94.99,14961.915,1,,,0
48661,4,38,95,95.99,15119.415,1,,,0
48662,4,38,96,96.99,15276.915,1,,,0
48663,4,38,97,97.99,15434.415,1,,,0
48664,4,38,98,98.99,15591.915,1,,,0
48665,4,38,99,99.99,15539.436,1,,,0
48666,4,38,100,100.99,15694.836,1,,,0
48667,4,38,101,101.99,15850.236,1,,,0
48668,4,38,102,102.99,16005.636,1,,,0
48669,4,38,103,103.99,16161.036,1,,,0
48670,4,38,104,104.99,16316.436,1,,,0
48671,4,38,105,105.99,16471.836,1,,,0
48672,4,38,106,106.99,16627.236,1,,,0
48673,4,38,107,107.99,16782.636,1,,,0
48674,4,38,108,108.99,16938.036,1,,,0
48675,4,38,109,109.99,17093.436,1,,,0
48676,4,38,110,110.99,17248.836,1,,,0
48677,4,38,111,111.99,17404.236,1,,,0
48678,4,38,112,112.99,17559.636,1,,,0
48679,4,38,113,113.99,17715.036,1,,,0
48680,4,38,114,114.99,17870.436,1,,,0
48681,4,38,115,115.99,18025.836,1,,,0
48682,4,38,116,116.99,18181.236,1,,,0
48683,4,38,117,117.99,18336.636,1,,,0
48684,4,38,118,118.99,18492.036,1,,,0
48685,4,38,119,119.99,18647.436,1,,,0
48686,4,38,120,120.99,18802.836,1,,,0
48687,4,38,121,121.99,18958.236,1,,,0
48688,4,38,122,122.99,19113.636,1,,,0
48689,4,38,123,123.99,19269.036,1,,,0
48690,4,38,124,124.99,19424.436,1,,,0
48691,4,38,125,125.99,19579.836,1,,,0
48692,4,38,126,126.99,19735.236,1,,,0
48693,4,38,127,127.99,19890.636,1,,,0
48694,4,38,128,128.99,20046.036,1,,,0
48695,4,38,129,129.99,20201.436,1,,,0
48696,4,38,130,130.99,20356.836,1,,,0
48697,4,38,131,131.99,20512.236,1,,,0
48698,4,38,132,132.99,20667.636,1,,,0
48699,4,38,133,133.99,20823.036,1,,,0
48700,4,38,134,134.99,20978.436,1,,,0
48701,4,38,135,135.99,21133.836,1,,,0
48702,4,38,136,136.99,21289.236,1,,,0
48703,4,38,137,137.99,21444.636,1,,,0
48704,4,38,138,138.99,21600.036,1,,,0
48705,4,38,139,139.99,21755.436,1,,,0
48706,4,38,140,140.99,21910.836,1,,,0
48707,4,38,141,141.99,22066.236,1,,,0
48708,4,38,142,142.99,22221.636,1,,,0
48709,4,38,143,143.99,22377.036,1,,,0
48710,4,38,144,144.99,22532.436,1,,,0
48711,4,38,145,145.99,22687.836,1,,,0
48712,4,38,146,146.99,22843.236,1,,,0
48713,4,38,147,147.99,22998.636,1,,,0
48714,4,38,148,148.99,23154.036,1,,,0
48715,4,38,149,149.99,23309.436,1,,,0
48716,4,38,150,150.99,23464.836,1,,,0
48717,4,38,151,151.99,23620.236,1,,,0
48718,4,38,152,152.99,23775.636,1,,,0
48719,4,38,153,153.99,23931.036,1,,,0
48720,4,38,154,154.99,24086.436,1,,,0
48721,4,38,155,155.99,24241.836,1,,,0
48722,4,38,156,156.99,24397.236,1,,,0
48723,4,38,157,157.99,24552.636,1,,,0
48724,4,38,158,158.99,24708.036,1,,,0
48725,4,38,159,159.99,24863.436,1,,,0
48726,4,38,160,160.99,25018.836,1,,,0
48727,4,38,161,161.99,25174.236,1,,,0
48728,4,38,162,162.99,25329.636,1,,,0
48729,4,38,163,163.99,25485.036,1,,,0
48730,4,38,164,164.99,25640.436,1,,,0
48731,4,38,165,165.99,25795.836,1,,,0
48732,4,38,166,166.99,25951.236,1,,,0
48733,4,38,167,167.99,26106.636,1,,,0
48734,4,38,168,168.99,26262.036,1,,,0
48735,4,38,169,169.99,26417.436,1,,,0
48736,4,38,170,170.99,26572.836,1,,,0
48737,4,38,171,171.99,26728.236,1,,,0
48738,4,38,172,172.99,26883.636,1,,,0
48739,4,38,173,173.99,27039.036,1,,,0
48740,4,38,174,174.99,27194.436,1,,,0
48741,4,38,175,175.99,27349.836,1,,,0
48742,4,38,176,176.99,27505.236,1,,,0
48743,4,38,177,177.99,27660.636,1,,,0
48744,4,38,178,178.99,27816.036,1,,,0
48745,4,38,179,179.99,27971.436,1,,,0
48746,4,38,180,180.99,28126.836,1,,,0
48747,4,38,181,181.99,28282.236,1,,,0
48748,4,38,182,182.99,28437.636,1,,,0
48749,4,38,183,183.99,28593.036,1,,,0
48750,4,38,184,184.99,28748.436,1,,,0
48751,4,38,185,185.99,28903.836,1,,,0
48752,4,38,186,186.99,29059.236,1,,,0
48753,4,38,187,187.99,29214.636,1,,,0
48754,4,38,188,188.99,29370.036,1,,,0
48755,4,38,189,189.99,29525.436,1,,,0
48756,4,38,190,190.99,29680.836,1,,,0
48757,4,38,191,191.99,29836.236,1,,,0
48758,4,38,192,192.99,29991.636,1,,,0
48759,4,38,193,193.99,30147.036,1,,,0
48760,4,38,194,194.99,30302.436,1,,,0
48761,4,38,195,195.99,30457.836,1,,,0
48762,4,38,196,196.99,30613.236,1,,,0
48763,4,38,197,197.99,30768.636,1,,,0
48764,4,38,198,198.99,30924.036,1,,,0
48765,4,38,199,199.99,31079.436,1,,,0
48766,4,38,200,200.99,31234.836,1,,,0
48767,4,38,201,201.99,31390.236,1,,,0
48768,4,38,202,202.99,31545.636,1,,,0
48769,4,38,203,203.99,31701.036,1,,,0
48770,4,38,204,204.99,31856.436,1,,,0
48771,4,38,205,205.99,32011.836,1,,,0
48772,4,38,206,206.99,32167.236,1,,,0
48773,4,38,207,207.99,32322.636,1,,,0
48774,4,38,208,208.99,32478.036,1,,,0
48775,4,38,209,209.99,32633.436,1,,,0
48776,4,38,210,210.99,32788.836,1,,,0
48777,4,38,211,211.99,32944.236,1,,,0
48778,4,38,212,212.99,33099.636,1,,,0
48779,4,38,213,213.99,33255.036,1,,,0
48780,4,38,214,214.99,33410.436,1,,,0
48781,4,38,215,215.99,33565.836,1,,,0
48782,4,38,216,216.99,33721.236,1,,,0
48783,4,38,217,217.99,33876.636,1,,,0
48784,4,38,218,218.99,34032.036,1,,,0
48785,4,38,219,219.99,34187.436,1,,,0
48786,4,38,220,220.99,34342.836,1,,,0
48787,4,38,221,221.99,34498.236,1,,,0
48788,4,38,222,222.99,34653.636,1,,,0
48789,4,38,223,223.99,34809.036,1,,,0
48790,4,38,224,224.99,34964.436,1,,,0
48791,4,38,225,225.99,35119.836,1,,,0
48792,4,38,226,226.99,35275.236,1,,,0
48793,4,38,227,227.99,35430.636,1,,,0
48794,4,38,228,228.99,35586.036,1,,,0
48795,4,38,229,229.99,35741.436,1,,,0
48796,4,38,230,230.99,35896.836,1,,,0
48797,4,38,231,231.99,36052.236,1,,,0
48798,4,38,232,232.99,36207.636,1,,,0
48799,4,38,233,233.99,36363.036,1,,,0
48800,4,38,234,234.99,36518.436,1,,,0
48801,4,38,235,235.99,36673.836,1,,,0
48802,4,38,236,236.99,36829.236,1,,,0
48803,4,38,237,237.99,36984.636,1,,,0
48804,4,38,238,238.99,37140.036,1,,,0
48805,4,38,239,239.99,37295.436,1,,,0
48806,4,38,240,240.99,37450.836,1,,,0
48807,4,38,241,241.99,37606.236,1,,,0
48808,4,38,242,242.99,37761.636,1,,,0
48809,4,38,243,243.99,37917.036,1,,,0
48810,4,38,244,244.99,38072.436,1,,,0
48811,4,38,245,245.99,38227.836,1,,,0
48812,4,38,246,246.99,38383.236,1,,,0
48813,4,38,247,247.99,38538.636,1,,,0
48814,4,38,248,248.99,38694.036,1,,,0
48815,4,38,249,249.99,38849.436,1,,,0
48816,4,38,250,250.99,39004.836,1,,,0
48817,4,38,251,251.99,39160.236,1,,,0
48818,4,38,252,252.99,39315.636,1,,,0
48819,4,38,253,253.99,39471.036,1,,,0
48820,4,38,254,254.99,39626.436,1,,,0
48821,4,38,255,255.99,39781.836,1,,,0
48822,4,38,256,256.99,39937.236,1,,,0
48823,4,38,257,257.99,40092.636,1,,,0
48824,4,38,258,258.99,40248.036,1,,,0
48825,4,38,259,259.99,40403.436,1,,,0
48826,4,38,260,260.99,40558.836,1,,,0
48827,4,38,261,261.99,40714.236,1,,,0
48828,4,38,262,262.99,40869.636,1,,,0
48829,4,38,263,263.99,41025.036,1,,,0
48830,4,38,264,264.99,41180.436,1,,,0
48831,4,38,265,265.99,41335.836,1,,,0
48832,4,38,266,266.99,41491.236,1,,,0
48833,4,38,267,267.99,41646.636,1,,,0
48834,4,38,268,268.99,41802.036,1,,,0
48835,4,38,269,269.99,41957.436,1,,,0
48836,4,38,270,270.99,42112.836,1,,,0
48837,4,38,271,271.99,42268.236,1,,,0
48838,4,38,272,272.99,42423.636,1,,,0
48839,4,38,273,273.99,42579.036,1,,,0
48840,4,38,274,274.99,42734.436,1,,,0
48841,4,38,275,275.99,42889.836,1,,,0
48842,4,38,276,276.99,43045.236,1,,,0
48843,4,38,277,277.99,43200.636,1,,,0
48844,4,38,278,278.99,43356.036,1,,,0
48845,4,38,279,279.99,43511.436,1,,,0
48846,4,38,280,280.99,43666.836,1,,,0
48847,4,38,281,281.99,43822.236,1,,,0
48848,4,38,282,282.99,43977.636,1,,,0
48849,4,38,283,283.99,44133.036,1,,,0
48850,4,38,284,284.99,44288.436,1,,,0
48851,4,38,285,285.99,44443.836,1,,,0
48852,4,38,286,286.99,44599.236,1,,,0
48853,4,38,287,287.99,44754.636,1,,,0
48854,4,38,288,288.99,44910.036,1,,,0
