courier_price_id,courier_id,couried_zone_id,from_kg,to_kg,price,status,date_added,date_modify,is_delete
49567,4,39,0,10,3235.05,1,,,0
49568,4,39,10.01,11,3341.1,1,,,0
49569,4,39,11.01,12,3447.15,1,,,0
49570,4,39,12.01,13,3553.2,1,,,0
49571,4,39,13.01,14,3659.25,1,,,0
49572,4,39,14.01,15,3765.3,1,,,0
49573,4,39,15.01,16,3871.35,1,,,0
49574,4,39,16.01,17,3977.4,1,,,0
49575,4,39,17.01,18,4083.45,1,,,0
49576,4,39,18.01,19,4189.5,1,,,0
49577,4,39,19.01,20,4295.55,1,,,0
49578,4,39,20.01,21,4392.15,1,,,0
49579,4,39,21.01,22,4488.75,1,,,0
49580,4,39,22.01,23,4585.35,1,,,0
49581,4,39,23.01,24,4681.95,1,,,0
49582,4,39,24.01,25,4778.55,1,,,0
49583,4,39,25.01,26,4875.15,1,,,0
49584,4,39,26.01,27,4971.75,1,,,0
49585,4,39,27.01,28,5068.35,1,,,0
49586,4,39,28.01,29,5164.95,1,,,0
49587,4,39,29.01,30,5261.55,1,,,0
49588,4,39,31,31.99,5677.6155,1,,,0
49589,4,39,32,32.99,5855.0655,1,,,0
49590,4,39,33,33.99,6032.5155,1,,,0
49591,4,39,34,34.99,6209.9655,1,,,0
49592,4,39,35,35.99,6387.4155,1,,,0
49593,4,39,36,36.99,6564.8655,1,,,0
49594,4,39,37,37.99,6742.3155,1,,,0
49595,4,39,38,38.99,6919.7655,1,,,0
49596,4,39,39,39.99,7097.2155,1,,,0
49597,4,39,40,40.99,7274.6655,1,,,0
49598,4,39,41,41.99,7452.1155,1,,,0
49599,4,39,42,42.99,7629.5655,1,,,0
49600,4,39,43,43.99,7807.0155,1,,,0
49601,4,39,44,44.99,7701.0285,1,,,0
49602,4,39,45,45.99,7872.1785,1,,,0
49603,4,39,46,46.99,8043.3285,1,,,0
49604,4,39,47,47.99,8214.4785,1,,,0
49605,4,39,48,48.99,8385.6285,1,,,0
49606,4,39,49,49.99,8556.7785,1,,,0
49607,4,39,50,50.99,8727.9285,1,,,0
49608,4,39,51,51.99,8899.0785,1,,,0
49609,4,39,52,52.99,9070.2285,1,,,0
49610,4,39,53,53.99,9241.3785,1,,,0
49611,4,39,54,54.99,9412.5285,1,,,0
49612,4,39,55,55.99,9583.6785,1,,,0
49613,4,39,56,56.99,9754.8285,1,,,0
49614,4,39,57,57.99,9925.9785,1,,,0
49615,4,39,58,58.99,10097.1285,1,,,0
49616,4,39,59,59.99,10268.2785,1,,,0
49617,4,39,60,60.99,10439.4285,1,,,0
49618,4,39,61,61.99,10610.5785,1,,,0
49619,4,39,62,62.99,10781.7285,1,,,0
49620,4,39,63,63.99,10952.8785,1,,,0
49621,4,39,64,64.99,11124.0285,1,,,0
49622,4,39,65,65.99,11295.1785,1,,,0
49623,4,39,66,66.99,11466.3285,1,,,0
49624,4,39,67,67.99,11637.4785,1,,,0
49625,4,39,68,68.99,11808.6285,1,,,0
49626,4,39,69,69.99,11612.331,1,,,0
49627,4,39,70,70.99,11778.231,1,,,0
49628,4,39,71,71.99,11944.131,1,,,0
49629,4,39,72,72.99,12110.031,1,,,0
49630,4,39,73,73.99,12275.931,1,,,0
49631,4,39,74,74.99,12441.831,1,,,0
49632,4,39,75,75.99,12607.731,1,,,0
49633,4,39,76,76.99,12773.631,1,,,0
49634,4,39,77,77.99,12939.531,1,,,0
49635,4,39,78,78.99,13105.431,1,,,0
49636,4,39,79,79.99,13271.331,1,,,0
49637,4,39,80,80.99,13437.231,1,,,0
49638,4,39,81,81.99,13603.131,1,,,0
49639,4,39,82,82.99,13769.031,1,,,0
49640,4,39,83,83.99,13934.931,1,,,0
49641,4,39,84,84.99,14100.831,1,,,0
49642,4,39,85,85.99,14266.731,1,,,0
49643,4,39,86,86.99,14432.631,1,,,0
49644,4,39,87,87.99,14598.531,1,,,0
49645,4,39,88,88.99,14764.431,1,,,0
49646,4,39,89,89.99,14930.331,1,,,0
49647,4,39,90,90.99,15096.231,1,,,0
49648,4,39,91,91.99,15262.131,1,,,0
49649,4,39,92,92.99,15428.031,1,,,0
49650,4,39,93,93.99,15593.931,1,,,0
49651,4,39,94,94.99,15759.831,1,,,0
49652,4,39,95,95.99,15925.731,1,,,0
49653,4,39,96,96.99,16091.631,1,,,0
49654,4,39,97,97.99,16257.531,1,,,0
49655,4,39,98,98.99,16423.431,1,,,0
49656,4,39,99,99.99,16379.352,1,,,0
49657,4,39,100,100.99,16543.152,1,,,0
49658,4,39,101,101.99,16706.952,1,,,0
49659,4,39,102,102.99,16870.752,1,,,0
49660,4,39,103,103.99,17034.552,1,,,0
49661,4,39,104,104.99,17198.352,1,,,0
49662,4,39,105,105.99,17362.152,1,,,0
49663,4,39,106,106.99,17525.952,1,,,0
49664,4,39,107,107.99,17689.752,1,,,0
49665,4,39,108,108.99,17853.552,1,,,0
49666,4,39,109,109.99,18017.352,1,,,0
49667,4,39,110,110.99,18181.152,1,,,0
49668,4,39,111,111.99,18344.952,1,,,0
49669,4,39,112,112.99,18508.752,1,,,0
49670,4,39,113,113.99,18672.552,1,,,0
49671,4,39,114,114.99,18836.352,1,,,0
49672,4,39,115,115.99,19000.152,1,,,0
49673,4,39,116,116.99,19163.952,1,,,0
