courier_zone_price_id,courier_id courier_zone_id,,from_kg,to_kg,price,status,date_added,date_modify,is_delete
54522,4,44,0,10,5887.35,1,,,0
54523,4,44,10.01,11,6144.6,1,,,0
54524,4,44,11.01,12,6401.85,1,,,0
54525,4,44,12.01,13,6659.1,1,,,0
54526,4,44,13.01,14,6916.35,1,,,0
54527,4,44,14.01,15,7173.6,1,,,0
54528,4,44,15.01,16,7430.85,1,,,0
54529,4,44,16.01,17,7688.1,1,,,0
54530,4,44,17.01,18,7945.35,1,,,0
54531,4,44,18.01,19,8202.6,1,,,0
54532,4,44,19.01,20,8459.85,1,,,0
54533,4,44,20.01,21,8718.15,1,,,0
54534,4,44,21.01,22,8976.45,1,,,0
54535,4,44,22.01,23,9234.75,1,,,0
54536,4,44,23.01,24,9493.05,1,,,0
54537,4,44,24.01,25,9751.35,1,,,0
54538,4,44,25.01,26,10009.65,1,,,0
54539,4,44,26.01,27,10267.95,1,,,0
54540,4,44,27.01,28,10526.25,1,,,0
54541,4,44,28.01,29,10784.55,1,,,0
54542,4,44,29.01,30,11042.85,1,,,0
54543,4,44,31,31.99,10548.093,1,,,0
54544,4,44,32,32.99,10877.793,1,,,0
54545,4,44,33,33.99,11207.493,1,,,0
54546,4,44,34,34.99,11537.193,1,,,0
54547,4,44,35,35.99,11866.893,1,,,0
54548,4,44,36,36.99,12196.593,1,,,0
54549,4,44,37,37.99,12526.293,1,,,0
54550,4,44,38,38.99,12855.993,1,,,0
54551,4,44,39,39.99,13185.693,1,,,0
54552,4,44,40,40.99,13515.393,1,,,0
54553,4,44,41,41.99,13845.093,1,,,0
54554,4,44,42,42.99,14174.793,1,,,0
54555,4,44,43,43.99,14504.493,1,,,0
54556,4,44,44,44.99,14361.798,1,,,0
54557,4,44,45,45.99,14680.998,1,,,0
54558,4,44,46,46.99,15000.198,1,,,0
54559,4,44,47,47.99,15319.398,1,,,0
54560,4,44,48,48.99,15638.598,1,,,0
54561,4,44,49,49.99,15957.798,1,,,0
54562,4,44,50,50.99,16276.998,1,,,0
54563,4,44,51,51.99,16596.198,1,,,0
54564,4,44,52,52.99,16915.398,1,,,0
54565,4,44,53,53.99,17234.598,1,,,0
54566,4,44,54,54.99,17553.798,1,,,0
54567,4,44,55,55.99,17872.998,1,,,0
54568,4,44,56,56.99,18192.198,1,,,0
54569,4,44,57,57.99,18511.398,1,,,0
54570,4,44,58,58.99,18830.598,1,,,0
54571,4,44,59,59.99,19149.798,1,,,0
54572,4,44,60,60.99,19468.998,1,,,0
54573,4,44,61,61.99,19788.198,1,,,0
54574,4,44,62,62.99,20107.398,1,,,0
54575,4,44,63,63.99,20426.598,1,,,0
54576,4,44,64,64.99,20745.798,1,,,0
54577,4,44,65,65.99,21064.998,1,,,0
54578,4,44,66,66.99,21384.198,1,,,0
54579,4,44,67,67.99,21703.398,1,,,0
54580,4,44,68,68.99,22022.598,1,,,0
54581,4,44,69,69.99,16830.0855,1,,,0
54582,4,44,70,70.99,17070.5355,1,,,0
54583,4,44,71,71.99,17310.9855,1,,,0
54584,4,44,72,72.99,17551.4355,1,,,0
54585,4,44,73,73.99,17791.8855,1,,,0
54586,4,44,74,74.99,18032.3355,1,,,0
54587,4,44,75,75.99,18272.7855,1,,,0
54588,4,44,76,76.99,18513.2355,1,,,0
54589,4,44,77,77.99,18753.6855,1,,,0
54590,4,44,78,78.99,18994.1355,1,,,0
54591,4,44,79,79.99,19234.5855,1,,,0
54592,4,44,80,80.99,19475.0355,1,,,0
54593,4,44,81,81.99,19715.4855,1,,,0
54594,4,44,82,82.99,19955.9355,1,,,0
54595,4,44,83,83.99,20196.3855,1,,,0
54596,4,44,84,84.99,20436.8355,1,,,0
54597,4,44,85,85.99,20677.2855,1,,,0
54598,4,44,86,86.99,20917.7355,1,,,0
54599,4,44,87,87.99,21158.1855,1,,,0
54600,4,44,88,88.99,21398.6355,1,,,0
54601,4,44,89,89.99,21639.0855,1,,,0
54602,4,44,90,90.99,21879.5355,1,,,0
54603,4,44,91,91.99,22119.9855,1,,,0
54604,4,44,92,92.99,22360.4355,1,,,0
54605,4,44,93,93.99,22600.8855,1,,,0
54606,4,44,94,94.99,22841.3355,1,,,0
54607,4,44,95,95.99,23081.7855,1,,,0
54608,4,44,96,96.99,23322.2355,1,,,0
54609,4,44,97,97.99,23562.6855,1,,,0
54610,4,44,98,98.99,23803.1355,1,,,0
54611,4,44,99,99.99,21838.806,1,,,0
54612,4,44,100,100.99,22057.206,1,,,0
54613,4,44,101,101.99,22275.606,1,,,0
54614,4,44,102,102.99,22494.006,1,,,0
54615,4,44,103,103.99,22712.406,1,,,0
54616,4,44,104,104.99,22930.806,1,,,0
54617,4,44,105,105.99,23149.206,1,,,0
54618,4,44,106,106.99,23367.606,1,,,0
54619,4,44,107,107.99,23586.006,1,,,0
54620,4,44,108,108.99,23804.406,1,,,0
54621,4,44,109,109.99,24022.806,1,,,0
54622,4,44,110,110.99,24241.206,1,,,0
54623,4,44,111,111.99,24459.606,1,,,0
54624,4,44,112,112.99,24678.006,1,,,0
54625,4,44,113,113.99,24896.406,1,,,0
54626,4,44,114,114.99,25114.806,1,,,0
54627,4,44,115,115.99,25333.206,1,,,0
54628,4,44,116,116.99,25551.606,1,,,0
54629,4,44,117,117.99,25770.006,1,,,0
54630,4,44,118,118.99,25988.406,1,,,0
54631,4,44,119,119.99,26206.806,1,,,0
54632,4,44,120,120.99,26425.206,1,,,0
54633,4,44,121,121.99,26643.606,1,,,0
54634,4,44,122,122.99,26862.006,1,,,0
54635,4,44,123,123.99,27080.406,1,,,0
54636,4,44,124,124.99,27298.806,1,,,0
54637,4,44,125,125.99,27517.206,1,,,0
54638,4,44,126,126.99,27735.606,1,,,0
54639,4,44,127,127.99,27954.006,1,,,0
54640,4,44,128,128.99,28172.406,1,,,0
54641,4,44,129,129.99,28390.806,1,,,0
54642,4,44,130,130.99,28609.206,1,,,0
54643,4,44,131,131.99,28827.606,1,,,0
54644,4,44,132,132.99,29046.006,1,,,0
